img_i,succ,R,que,iter_num,succ_r,AVG_q,MID_q,AVG_iter,QperI
0,1,0.191770524830066,69,16,1.0,69.0,69,16.0,4.3125
1,1,0.19825835631776006,205,44,1.0,137.0,137.0,30.0,4.566666666666666
2,1,0.179469006820554,11,2,1.0,95.0,69,20.666666666666668,4.596774193548387
3,1,0.1977017485846627,379,103,1.0,166.0,137.0,41.25,4.024242424242424
4,1,0.19089246603942692,69,16,1.0,146.6,69,36.2,4.049723756906077
5,1,0.15469143642520325,25,5,1.0,126.33333333333333,69.0,31.0,4.075268817204301
6,1,0.19966632484267774,17,3,1.0,110.71428571428571,69,27.0,4.1005291005291005
7,1,0.18268166018102552,31,5,1.0,100.75,50.0,24.25,4.154639175257732
8,1,0.19966632484267774,19,4,1.0,91.66666666666667,31,22.0,4.166666666666667
9,1,0.1973820703226027,73,16,1.0,89.8,50.0,21.4,4.196261682242991
